iCUSIP	iPERIOD_END	x1	x4	x5
00130H105	2016-06-30	1	0.2	0.0078107267509544736
00130H105	2016-09-30	1	0.2	0.0078107267509544736
00130H105	2017-03-31	2	0.2	0.0078107267509544736
00130H105	2017-06-30	1	0.2	0.0078107267509544736
001317205	2013-09-30	0	0.5	0.008145950447636894
001317205	2013-12-31	0	0.5	0.008145950447636894
001317205	2014-03-31	0	0.5	0.008145950447636894
001317205	2014-06-30	0	0.5	0.008145950447636894
001317205	2014-09-30	0	0.5	0.008145950447636894
001317205	2014-12-31	0	0.5	0.008145950447636894
001317205	2015-03-31	0	0.5	0.008145950447636894
001317205	2015-06-30	0	0.5	0.008145950447636894
001317205	2015-09-30	0	0.5	0.008145950447636894
001317205	2015-12-31	0	0.5	0.008145950447636894
001317205	2016-03-31	0	0.5	0.008145950447636894
001317205	2016-06-30	0	0.5	0.008145950447636894
001317205	2016-09-30	0	0.5	0.008145950447636894
001317205	2017-03-31	0	0.5	0.008145950447636894
001317205	2017-06-30	0	0.5	0.008145950447636894
001547108	2013-09-30	0	0.25	0.0443218954248366
001547108	2013-12-31	0	0.25	0.0443218954248366
001547108	2014-03-31	0	0.25	0.0443218954248366
001547108	2014-06-30	0	0.25	0.0443218954248366
001547108	2014-09-30	0	0.25	0.0443218954248366
001547108	2014-12-31	0	0.25	0.0443218954248366
001547108	2015-03-31	0	0.25	0.0443218954248366
001547108	2015-06-30	0	0.25	0.0443218954248366
001547108	2015-09-30	0	0.25	0.0443218954248366
001547108	2015-12-31	0	0.25	0.0443218954248366
001547108	2016-03-31	0	0.25	0.0443218954248366
001547108	2016-06-30	0	0.25	0.0443218954248366
001547108	2016-09-30	0	0.25	0.0443218954248366
001547108	2017-03-31	0	0.25	0.0443218954248366
001547108	2017-06-30	0	0.25	0.0443218954248366
001600105	2013-09-30	0	0.0	
001600105	2013-12-31	0	0.0	
001600105	2014-03-31	0	0.0	
001600105	2014-06-30	0	0.0	
001600105	2014-09-30	1	0.0	
001600105	2014-12-31	0	0.0	
001600105	2015-03-31	0	0.0	
001600105	2015-06-30	0	0.0	
00162Q106	2013-09-30	0	0.0	
00162Q106	2013-12-31	0	0.0	
00162Q106	2014-03-31	0	0.0	
00162Q106	2014-06-30	0	0.0	
00162Q106	2014-09-30	0	0.0	
00162Q106	2014-12-31	0	0.0	
00162Q106	2015-03-31	0	0.0	
00162Q106	2015-06-30	0	0.0	
00162Q106	2015-09-30	0	0.0	
00162Q106	2015-12-31	0	0.0	
00162Q106	2016-03-31	0	0.0	
00162Q106	2016-06-30	0	0.0	
00162Q106	2016-09-30	1	0.0	
00162Q106	2017-03-31	1	0.0	
00162Q106	2017-06-30	0	0.0	
00162Q205	2013-09-30	0	0.6	0.004084221236027634
00162Q205	2013-12-31	0	0.6	0.004084221236027634
00162Q205	2014-03-31	0	0.6	0.004084221236027634
00162Q205	2014-06-30	0	0.6	0.004084221236027634
00162Q205	2014-09-30	0	0.6	0.004084221236027634
00162Q205	2014-12-31	0	0.6	0.004084221236027634
00162Q205	2015-03-31	0	0.6	0.004084221236027634
00162Q205	2015-06-30	0	0.6	0.004084221236027634
00162Q205	2015-09-30	0	0.6	0.004084221236027634
00162Q205	2015-12-31	0	0.6	0.004084221236027634
00162Q205	2016-03-31	0	0.6	0.004084221236027634
00162Q205	2016-06-30	0	0.6	0.004084221236027634
00162Q205	2016-09-30	0	0.6	0.004084221236027634
00162Q205	2017-03-31	0	0.6	0.004084221236027634
00162Q205	2017-06-30	1	0.6	0.004084221236027634
00162Q593	2014-12-31	0	0.0	
00162Q593	2015-03-31	0	0.0	
00162Q593	2015-06-30	0	0.0	
00162Q593	2015-09-30	0	0.0	
00162Q593	2015-12-31	0	0.0	
00162Q593	2016-03-31	0	0.0	
00162Q593	2016-06-30	0	0.0	
00162Q593	2016-09-30	0	0.0	
00162Q593	2017-03-31	0	0.0	
00162Q593	2017-06-30	0	0.0	
00162Q718	2013-09-30	0	0.25	0.20742658679714598
00162Q718	2013-12-31	0	0.25	0.20742658679714598
00162Q718	2014-03-31	1	0.25	0.20742658679714598
00162Q718	2014-06-30	0	0.25	0.20742658679714598
00162Q718	2014-09-30	0	0.25	0.20742658679714598
00162Q718	2014-12-31	0	0.25	0.20742658679714598
00162Q718	2015-03-31	1	0.25	0.20742658679714598
00162Q718	2015-06-30	0	0.25	0.20742658679714598
00162Q718	2015-09-30	0	0.25	0.20742658679714598
00162Q718	2015-12-31	0	0.25	0.20742658679714598
00162Q718	2016-03-31	0	0.25	0.20742658679714598
00162Q718	2016-06-30	0	0.25	0.20742658679714598
00162Q718	2016-09-30	1	0.25	0.20742658679714598
00162Q718	2017-03-31	1	0.25	0.20742658679714598
00162Q718	2017-06-30	0	0.25	0.20742658679714598
00162Q783	2013-12-31	0	0.0	
00162Q783	2014-03-31	0	0.0	
00162Q783	2014-06-30	0	0.0	
00162Q783	2014-09-30	0	0.0	
00162Q783	2014-12-31	0	0.0	
00162Q783	2015-03-31	0	0.0	
00162Q783	2015-06-30	0	0.0	
00162Q783	2015-09-30	0	0.0	
